epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.666,1.85184,2.32904,1.77721,0.31624,0.28891,0.22214,0.08864,2.04992,2.54476,1.92278,0.000475481,0.000475481,0.000475481
2,494.75,1.88635,2.19218,1.8199,0.34067,0.28058,0.24962,0.10379,1.99483,2.2343,1.92729,0.0009047,0.0009047,0.0009047
3,735.639,1.85634,2.13524,1.78309,0.36434,0.31817,0.28129,0.11934,1.96811,2.13046,1.87127,0.00128676,0.00128676,0.00128676
4,974.882,1.82542,2.08364,1.75952,0.40416,0.33603,0.316,0.14287,1.89728,2.00483,1.82809,0.00121679,0.00121679,0.00121679
5,1214.31,1.7873,2.0209,1.73256,0.42283,0.35226,0.33643,0.15191,1.90164,1.97153,1.83818,0.00114606,0.00114606,0.00114606
6,1453.87,1.74942,1.96754,1.71203,0.40169,0.35331,0.3347,0.15281,1.84562,1.93006,1.77604,0.00107532,0.00107532,0.00107532
7,1693.24,1.74432,1.91773,1.70033,0.42236,0.35635,0.34599,0.16188,1.79671,1.87715,1.77473,0.00100459,0.00100459,0.00100459
8,1931.3,1.71134,1.87495,1.68169,0.48114,0.39573,0.39978,0.18757,1.78508,1.78648,1.727,0.000933851,0.000933851,0.000933851
9,2169.79,1.69612,1.84791,1.66159,0.48262,0.40593,0.41174,0.20209,1.74339,1.71372,1.68882,0.000863116,0.000863116,0.000863116
10,2406.67,1.6832,1.81568,1.65273,0.47595,0.4023,0.41006,0.2009,1.718,1.72027,1.69137,0.00079238,0.00079238,0.00079238
11,2644.3,1.74987,1.83528,1.72934,0.48858,0.40996,0.42333,0.20566,1.75243,1.71381,1.69888,0.000721645,0.000721645,0.000721645
12,2880.39,1.72844,1.78666,1.71344,0.50399,0.40922,0.43329,0.21695,1.70631,1.63163,1.6881,0.000650909,0.000650909,0.000650909
13,3116.73,1.70455,1.74038,1.69931,0.51665,0.43345,0.45734,0.23323,1.66343,1.57863,1.6484,0.000580174,0.000580174,0.000580174
14,3353.47,1.68946,1.70597,1.68786,0.51745,0.43068,0.45568,0.22958,1.66511,1.58833,1.64676,0.000509438,0.000509438,0.000509438
15,3588.38,1.67032,1.66466,1.67225,0.53085,0.44741,0.47975,0.24902,1.61369,1.54114,1.6137,0.000438703,0.000438703,0.000438703
16,3826.39,1.65473,1.63024,1.6641,0.54054,0.45986,0.4863,0.25293,1.61271,1.51679,1.59737,0.000367967,0.000367967,0.000367967
17,4060.98,1.62784,1.58517,1.63826,0.55532,0.47107,0.51224,0.2701,1.57541,1.46514,1.58706,0.000297232,0.000297232,0.000297232
18,4294.13,1.60244,1.56041,1.6229,0.56092,0.49161,0.52518,0.28116,1.56499,1.4172,1.56789,0.000226497,0.000226497,0.000226497
19,4527.55,1.58926,1.51962,1.6143,0.56907,0.49699,0.53692,0.29067,1.54424,1.38429,1.5569,0.000155761,0.000155761,0.000155761
20,4760.62,1.56966,1.48235,1.59531,0.57937,0.50607,0.55023,0.30101,1.52677,1.35741,1.54171,8.50255e-05,8.50255e-05,8.50255e-05
